clean_post,polarity,sentiment,affect_label,label_name
dont understand achievepalmyras baalshamin temple blown httptcoxvulgzuq,0.0,Neutral,0,non-negative affect
rt cigarettes made green tea leaves claim help quit smoking httptcofmvazdbis httptcohakwgtofo,0.402,Positve,0,non-negative affect
get morning two whole weeks bliss,0.572,Positve,0,non-negative affect
feel like invisible hand trying remove eyeballs spoon,0.691,Positve,0,non-negative affect
rt hair tapestry latest hair trend httptconeqztnqvjj httptcowrjbklcvvo,0.0,Neutral,0,non-negative affect
feels like shoreham coverage alt media gone beyond news ghoulish,0.361,Positve,0,non-negative affect
mail entirely mo mail online barely news,0.0,Neutral,0,non-negative affect
awful,-0.459,Negative,1,high negative affect
awfulness continues heartbreaking httpstcowdzelwaah,-0.459,Negative,1,high negative affect
lazy afternoon snooze kitty cat lazy sunday,-0.612,Negative,1,high negative affect
pain heartbreak tragedy confusing emotion feel sadness south coast friends shoreham,-0.92,Negative,1,high negative affect
pouring rain cambridge sun didnt last long,0.0,Neutral,0,non-negative affect
rt friends footballers pay tribute teammates httptcodtjkxuoj httptcohdrcajc,0.402,Positve,0,non-negative affect
ive done nothing last minute enough need stand stuff lazy sunday,-0.361,Negative,1,high negative affect
rt comfy sunday morning cushion blog post make snug httptcoemsgapbf httptcotiyz,0.0,Neutral,0,non-negative affect
rt diversion route likely remain place day shoreham air crash httptcopnroqnpgi httptcolflo,-0.402,Negative,1,high negative affect
new media highlights hypocrisy humans tragedy global many choose ignore whats doorstep x,-0.784,Negative,1,high negative affect
hope pilot pulls theres enough death today shoreham httpstcowhlqepk,-0.25,Negative,1,high negative affect
keep seeing comments pilot saved true find quite incredible,0.681,Positve,0,non-negative affect
urgh awful,-0.459,Negative,1,high negative affect
cant shake image unsuspecting people driving along minding business tragically sad,-0.742,Negative,1,high negative affect
dear god horrific image awful awful awful httpstcoggrumnvmm,-0.866,Negative,1,high negative affect
rt people confirmed dead plane crashed several vehicles shoreham airshow httptcoismqgjyeb,-0.649,Negative,1,high negative affect
bbc reporting fatalities far awful,-0.784,Negative,1,high negative affect
toaster shopping needlessly confusing,-0.226,Negative,1,high negative affect
finding hard find funky decent quality toaster reasonable price silver boring cheap looking first world problems,-0.7,Negative,1,high negative affect
rt sad footage released shoreham air crash content obviously distressing httptcoagswz,-0.818,Negative,1,high negative affect
thought,0.0,Neutral,0,non-negative affect
awful awful tragedy lets hope casualties httpstcofkrqwxrhp,-0.818,Negative,1,high negative affect
true httptcoocwwjuqb,0.421,Positve,0,non-negative affect
sofa shopping whoop,0.0,Neutral,0,non-negative affect
cat always overjoyed see every morning kind love priceless,0.906,Positve,0,non-negative affect
beach trip,0.0,Neutral,0,non-negative affect
going go,0.0,Neutral,0,non-negative affect
dusk warm cool httptcoizfytpbg,0.494,Positve,0,non-negative affect
awesome motovlogs commentary great fun want bike,0.915,Positve,0,non-negative affect
rt dolphins spotted heading east hove keep look,0.0,Neutral,0,non-negative affect
finished service centre call didnt make want cry punch something good work eon,0.641,Positve,0,non-negative affect
rt man taken hospital suffering arm wrestling injury mill road httptcoviahxysg,-0.71,Negative,1,high negative affect
,0.0,Neutral,0,non-negative affect
hi thx yes found end spoke nice helpful young lady sorted thx,0.906,Positve,0,non-negative affect
last tweet dont worry spoke v helpful young lady sorted thx,0.377,Positve,0,non-negative affect
hi im trying find number phone new account cant find please advise thx,0.211,Positve,0,non-negative affect
fragile egos umbrage taken blink need break,0.0,Neutral,0,non-negative affect
rt dogs desperate treatsben friends would grateful donations httptcoqe,0.586,Positve,0,non-negative affect
two weeks cant fing wait need get away work,0.0,Neutral,0,non-negative affect
rt things didnt know could malteasers epic httptcolmcwqekipp httptcobdeynvmbd,0.0,Neutral,0,non-negative affect
feeling strange mix excited sad big change looming liberating many ways life changing,-0.361,Negative,1,high negative affect
last time im going take bus work feels weird,-0.178,Negative,1,high negative affect
need care less dont want hard heart,0.509,Positve,0,non-negative affect
dont know allow feel disappointment someone even time,-0.608,Negative,1,high negative affect
last day office weeks whoop,0.0,Neutral,0,non-negative affect
horrible muggy weather cambridge weather,-0.542,Negative,1,high negative affect
however going miss living road people drive like lunatics,-0.178,Negative,1,high negative affect
walking home occurs walking home wont possible soon miss,0.114,Positve,0,non-negative affect
wondering turn raymond httpstcolaquynv,0.0,Neutral,0,non-negative affect
ive decided life needs pink cuddler chairbed,0.0,Neutral,0,non-negative affect
love story httpstconjkcbjqspg,0.637,Positve,0,non-negative affect
good luck kids getting gcse results today results day,0.71,Positve,0,non-negative affect
people amp traffic everyone quiet cambridge,0.0,Neutral,0,non-negative affect
faffing considered hobby im good,0.44,Positve,0,non-negative affect
absolutely httptcononlwfub,0.0,Neutral,0,non-negative affect
think right sofa shopping excited lol,0.637,Positve,0,non-negative affect
suppose get,0.0,Neutral,0,non-negative affect
need sleep exciting day im still buzzed,0.494,Positve,0,non-negative affect
mini hog earlier evening one two moved httptcocouhem,0.0,Neutral,0,non-negative affect
rt best times post facebook instagram twitter httptcoqmjitd httptcovtrkdftb,0.637,Positve,0,non-negative affect
another milestone day insurance place final viewing tonight deposit prepared exchange imminent,0.226,Positve,0,non-negative affect
httptcoldipugk,0.0,Neutral,0,non-negative affect
miss every single day dont think know still true,0.296,Positve,0,non-negative affect
theres either eyelash elephant eye either way net result pain,-0.511,Negative,1,high negative affect
rt elephant fact day elephant herd considered one closely knit societies animal http,0.0,Neutral,0,non-negative affect
beautiful spopie adopted chat loving last week black cat appreciation day httptcocclqlmsypr,0.902,Positve,0,non-negative affect
still use account,0.0,Neutral,0,non-negative affect
beauty,0.586,Positve,0,non-negative affect
interesting reading bbc news better diagnosis call adults adhd httptcoexeoxrca,0.681,Positve,0,non-negative affect
girl spopie black cat appreciation day httptcomgdevpbqo,0.511,Positve,0,non-negative affect
cementing status crocheting weirdo staff cafe,-0.421,Negative,1,high negative affect
hear hear httpstcoqwjdxeeww,0.0,Neutral,0,non-negative affect
never thought id say im glad distraction work something keep productive organised,0.103,Positve,0,non-negative affect
feels autumnal sudden,0.0,Neutral,0,non-negative affect
made jess cake httptcodipzhim,0.0,Neutral,0,non-negative affect
rt community rallies behind former soldier seen begging beehive centre httptcondrym httptco,0.0,Neutral,0,non-negative affect
rt yrs ago puppy abandoned ireland took london adopted today swims california,-0.459,Negative,1,high negative affect
miss every single day days feels like gutpunched,0.226,Positve,0,non-negative affect
house smells cake,0.0,Neutral,0,non-negative affect
cotton granny square pink grey crochet granny square httptcozqzuvmbex,0.052,Positve,0,non-negative affect
ive little car year today happy birthday little car still going strong,0.791,Positve,0,non-negative affect
bad week calls comfort food httptcopamcwa,-0.25,Negative,1,high negative affect
ely ely cambridgeshire httpstcosryxxpkjlq,0.0,Neutral,0,non-negative affect
gorgeous day drive ely ely catherdral httpstcojsdrjuk,0.612,Positve,0,non-negative affect
thought said could,0.0,Neutral,0,non-negative affect
looks awful hope youre okay xx httpstcoeoaltyx,0.202,Positve,0,non-negative affect
rt pictures severe weather hits sussex httptcoqgxilqmxmi httptcowjcxwfvr,-0.382,Negative,1,high negative affect
block another traditional grannysquare crochet crochet blanket afghan httptcodfazpxheqh,-0.44,Negative,1,high negative affect
hog time hedgehog httptcotxlxnmzwgb,0.0,Neutral,0,non-negative affect
httptcockftcgto,0.0,Neutral,0,non-negative affect
know dont crochet tipsy angry sad many extremes crochet dont mix,-0.102,Negative,1,high negative affect
feeling emotionally drained time easy stress free evening crochet penguins madagascar,0.34,Positve,0,non-negative affect
rt read wonderful blog elephant conservation zimbabwe httptcombywtcaelx world elephant day httptco,0.572,Positve,0,non-negative affect
rt read wonderful blog elephant conservation zimbabwe httptcombywtcaelx world elephant day httptco,0.572,Positve,0,non-negative affect
rt astroluca rt arriving queensland welcomed riveting colorful nature australia http,0.34,Positve,0,non-negative affect
rt aboard aquatic combines harvesting weeds cambs waterways httptcooropisiwk httptcovafb,0.026,Neutral,0,non-negative affect
yep httptcojchaugpty,0.296,Positve,0,non-negative affect
big hoggle supper tonight hes magical little beastie httptcozecvjjg,0.0,Neutral,0,non-negative affect
rt marley amp zena dog rescuers looking fab rescue owner let almost starve owning dog priv,0.571,Positve,0,non-negative affect
rt indeed httptcowkrkhtaj,0.0,Neutral,0,non-negative affect
magical sky tonight changes seconds filter httptcomsawwgqy,0.0,Neutral,0,non-negative affect
beautiful sky tonight filter httptcocdirpbq,0.599,Positve,0,non-negative affect
rare tuesday treat dinner comfort food httpstcoletzjnn,0.637,Positve,0,non-negative affect
bought today cant decide super organised waaay early httptcoqbhzqjln,-0.485,Negative,1,high negative affect
sorry hear lily pets family heartbreaking die dixie lovely life x,-0.527,Negative,1,high negative affect
must remember httptcopqnmbf,0.0,Neutral,0,non-negative affect
gorilla amazing reaction reunited man took care years httptcowulhxtvgr,0.791,Positve,0,non-negative affect
rt test eyes playing fastpaced colormatching game httptcohframein httptcoqdupdbdrnq,0.202,Positve,0,non-negative affect
scored points kolor game guess colors score high,0.0,Neutral,0,non-negative affect
awake mind racing need sleep dammit insomnia,0.0,Neutral,0,non-negative affect
square done crochet crochet blanket httptcoehqftyzvt,0.0,Neutral,0,non-negative affect
glad see survived brutality desert stay strong safe,0.818,Positve,0,non-negative affect
ive remembered new house range cooker whoop looking forward road testing,0.0,Neutral,0,non-negative affect
square lacy crochet pale blue dk yarn crocheting crochet blanket httptcovrvvnvqoh,0.0,Neutral,0,non-negative affect
squares made crochet crocheting httptcomromykmta,0.0,Neutral,0,non-negative affect
rt look around milton country park weve found prettiest spots httptcownbsmqqhs http,0.572,Positve,0,non-negative affect
rt happy sunday born sew httptcopmvhewazw,0.572,Positve,0,non-negative affect
deckchair sun whats love cats twitter httptcovegrrwuag,0.637,Positve,0,non-negative affect
watching pitch perfect pat benatar belong httpstcowlljenuy,0.572,Positve,0,non-negative affect
natalie imbruglia,0.0,Neutral,0,non-negative affect
two hoggles dinner far tonight hedgehog httptcoujixecsl,0.0,Neutral,0,non-negative affect
rt brighton student chosen exhibit alongside hogarth reynolds national portrait gallery httptcotisqjm,0.0,Neutral,0,non-negative affect
beautiful kitty,0.599,Positve,0,non-negative affect
lovely kitchen,0.586,Positve,0,non-negative affect
rt fun things cambridgeshire september httptcouagwlxop httptcowtocguer,0.511,Positve,0,non-negative affect
see worldcat day httptcodtbtmhlsc,0.0,Neutral,0,non-negative affect
rt pups cant cuddled due horrible skin infection provide tlc httptcoyyiwrulj httptc,0.431,Positve,0,non-negative affect
chair mine worldcat day httptcohrwduoksyg,0.0,Neutral,0,non-negative affect
rt cambridgeshire cook book httptcowimajcgmm httptcogozffmdid,0.0,Neutral,0,non-negative affect
rt alevel predicted grades wrong cambridge assessment finds httptcouiyjmjhu,-0.477,Negative,1,high negative affect
might completed house time next week whoop,0.0,Neutral,0,non-negative affect
watched amp steve get tats looked painless want,0.361,Positve,0,non-negative affect
keeping company work worldcat day httptcogflzsvkp,0.0,Neutral,0,non-negative affect
happy little dog rose plays balloon httpstcoqczvkhtz via,0.664,Positve,0,non-negative affect
snuffly hedgehogs dinner evening,0.0,Neutral,0,non-negative affect
poor babies httpstcosmznjrnrrk,-0.477,Negative,1,high negative affect
oh wrong people httpstcozlfhagq,-0.477,Negative,1,high negative affect
estate agent officially pissing,-0.402,Negative,1,high negative affect
rt woman assaulted walked home peterborough appeal httptcoqzxbwpdom,-0.527,Negative,1,high negative affect
rt big game animals worth alive dead httptcorovvjkroq httptcokhwnhcdzf,-0.202,Negative,1,high negative affect
mention times fastest growing farm attraction lovely yay donkeys httptcozfkmalzzrk,0.898,Positve,0,non-negative affect
schools theres traffic morning feels really odd,-0.38,Negative,1,high negative affect
square complete trebles bobbles crochet httptcocufpvkew,0.0,Neutral,0,non-negative affect
rt please rt massive thank kind souls look orphans rhino horn trade safe hands htt,0.878,Positve,0,non-negative affect
rt scared baby elephant rapas cries saved drowning httptcoqiezaimx many thanks team http,0.026,Neutral,0,non-negative affect
river cam still fill joy httpstcoszdimzhbv,0.586,Positve,0,non-negative affect
beautiful evening gentle walk home httpstcojwhiejl,0.778,Positve,0,non-negative affect
yaay grantchester httpstcoydqnkqyzc,0.0,Neutral,0,non-negative affect
bus drivers actually wait elderly passengers sit start driving arent nice,-0.325,Negative,1,high negative affect
rip george minder star george cole dies httptcoombqep,0.0,Neutral,0,non-negative affect
poffy alway take time hectic schedule sleeping amp eating give buddy quick wash httptcouboon,0.0,Neutral,0,non-negative affect
trying new stitch bit uneven test attempt crochet httpstcosefjprgu,0.0,Neutral,0,non-negative affect
rt rt kittens found car towed miles swindon httptcoxdhvva heart news httptcogs,0.0,Neutral,0,non-negative affect
boy front beard reeks lager got child bus fare mystery,0.0,Neutral,0,non-negative affect
im step closer towards contracts signed completion house exciting times,0.494,Positve,0,non-negative affect
disgusting hope catch person httpstcoejublxc,-0.128,Negative,1,high negative affect
rt minions fans patterns httptcobnciujzi sewing felt httptcodwwqkjb,0.0,Neutral,0,non-negative affect
one girls best sleeping whiskers wednesday httptcozujnwzb,0.637,Positve,0,non-negative affect
wish foreign language schools cambridge would teach students manners,0.402,Positve,0,non-negative affect
bad nights sleep weird anxiety dreams left feeling anything refreshed,-0.402,Negative,1,high negative affect
fantastic first vlog emotional beautifully filmed good luck epic ride,0.93,Positve,0,non-negative affect
httptcovderreu,0.0,Neutral,0,non-negative affect
tuesday morning httptcomxcpisjn,0.0,Neutral,0,non-negative affect
random song popped head midnight train georgia idea httptcowbsahuybb,0.0,Neutral,0,non-negative affect
life may seem perfect outside world motivational quotes httptcoeadtsqb,0.572,Positve,0,non-negative affect
rt serious note im incredibly proud unified compassion condemnation animals abusers,0.211,Positve,0,non-negative affect
theres nothing delicious coming home taking work clothes,-0.459,Negative,1,high negative affect
talking tv shows afternoon brought mention talking aspidistra remembers,0.0,Neutral,0,non-negative affect
appeal identify suspects homophobic assault train back london brighton pride httpstcozchekvfg,-0.586,Negative,1,high negative affect
retro sweets monday httpstcoqmcaqfuhs,0.494,Positve,0,non-negative affect
rt makeup artist paints wonderful whimsical scenes adorable cats eyelids httptcohogywesbyl httptcoymtulszw,0.802,Positve,0,non-negative affect
rt feeling overwhelmed craft business advice time management tips httptcostadtotoy,0.178,Positve,0,non-negative affect
rt know catloving friend would love patch httptcotoyxobwjt httptcoejaxyl,0.813,Positve,0,non-negative affect
rt yarn bombing come coronation street httptcomcxarkuv httptcoxaxpcjud,0.0,Neutral,0,non-negative affect
monday im coming get ya positive affirmations httptcogvtuinmd,0.557,Positve,0,non-negative affect
remember httptcomylwhhyvd,0.0,Neutral,0,non-negative affect
pre mondayanxiety anxiety sucks,-0.494,Negative,1,high negative affect
wonderful httpstcowvuwzfklal,0.572,Positve,0,non-negative affect
holywell river front httpstcoxjzyxobapt,0.0,Neutral,0,non-negative affect
sunday lunch old ferryboat inn httpstcobbcy,0.0,Neutral,0,non-negative affect
rip cilla cilla black dies aged via httptcovxpyonxjs,0.0,Neutral,0,non-negative affect
bangles eternal flame httptcowrvvtcnj,0.0,Neutral,0,non-negative affect
soooo sleepy saturday night,0.0,Neutral,0,non-negative affect
first crochet flower httptcoybboviqik,0.0,Neutral,0,non-negative affect
funny song transport time place remind someone causing physical jolt changing moment instantly,0.44,Positve,0,non-negative affect
went black buttons several balls wool amp needle felt kit later httptcoqxcsjthop,0.0,Neutral,0,non-negative affect
mashed avocado toast breakfast champions httpstcodstsnt,0.527,Positve,0,non-negative affect
rt protecting endangered species one important things us httptcoivkmqjy httpt,0.202,Positve,0,non-negative affect
tears fears head heels httptcowcdyqrnwcf,-0.572,Negative,1,high negative affect
mum surgery seems fine overnight hospital home tomorrow,0.202,Positve,0,non-negative affect
new crochet project making red poppies sell british legion first flowers ive ever made,0.0,Neutral,0,non-negative affect
vile subhuman httpstcovadwcvq,-0.625,Negative,1,high negative affect
good home happy finally friday work,0.765,Positve,0,non-negative affect
rt would know cat poisoned see symptoms amp advice httptcoxqhzozzp h,-0.494,Negative,1,high negative affect
depression illness httpstcofdkqaopwa,-0.751,Negative,1,high negative affect
searching therapist meets weekends httpstcoikyqsccm,0.0,Neutral,0,non-negative affect
st ladys mental health road map mental wellness httpstcogggjnehx,0.44,Positve,0,non-negative affect
want teen practice safe sex parenting httpstcorgoomjzkn,0.494,Positve,0,non-negative affect
untreated mental illness leaves dead mental illness httpstcodbkubyz,-0.866,Negative,1,high negative affect
stereotypes teens undermine parents httpstcobptujftq,-0.296,Negative,1,high negative affect
loved one crisis httpstcoimshcllfeo,-0.052,Negative,1,high negative affect
parenting mental illness mental illness httpstcouzefiuscen,-0.66,Negative,1,high negative affect
recovery addiction impacts family httpstcogeskmvbxi,0.0,Neutral,0,non-negative affect
heroin deaths surge httpstcoblndywjd,-0.494,Negative,1,high negative affect
raise narcissist httpstcoifvpnlhd,0.0,Neutral,0,non-negative affect
top relationship deal breakers httpstcogxbnbga,0.202,Positve,0,non-negative affect
cbt winter blues httpstcosqqpzffog,0.0,Neutral,0,non-negative affect
decisive marriage httpstcolmjjbsj,0.226,Positve,0,non-negative affect
mental suffering like illness mental illness httpstcomrrsfehcjg,-0.718,Negative,1,high negative affect
wounded veterans suffer ptsd httpstcokjabhkfw,-0.542,Negative,1,high negative affect
stressed tired rushed family httpstcoocjnaljy,-0.649,Negative,1,high negative affect
client therapist relationship httpstcozppxejrl,0.0,Neutral,0,non-negative affect
whats traumatic birth httpstcoiszrdur,-0.572,Negative,1,high negative affect
us therapist general httpstcorrpfwwo,0.0,Neutral,0,non-negative affect
addiction crisis us httpstcoidxdoonibf,-0.625,Negative,1,high negative affect
could jewelry help prevent sexual assault httpstcocycivoj,-0.25,Negative,1,high negative affect
gonorrhea becoming resistant std httpstcoxsujveo,0.0,Neutral,0,non-negative affect
parents sex talk children httpstcoiufqinowi,0.0,Neutral,0,non-negative affect
subtle suicide httpstcouisppzjxf,-0.67,Negative,1,high negative affect
halloween traumatize children httpstcobbecdkmhu,-0.527,Negative,1,high negative affect
college students alcohol disorders httpstcozdvtemvf,0.0,Neutral,0,non-negative affect
white men die suicide substance abuse httpstcodcfhais,-0.927,Negative,1,high negative affect
sex couples fertility benefits httpstcomddzhdol,0.382,Positve,0,non-negative affect
march eating disorders washington httpstcoixmadxar,0.0,Neutral,0,non-negative affect
anorexic woman weighed pounds httpstcolfsfqgnfl,0.0,Neutral,0,non-negative affect
love women anxiety httpstcorzxyjgwbe,0.542,Positve,0,non-negative affect
mindfulness workplace httpstconivrzsqew,0.0,Neutral,0,non-negative affect
teach children selfadvocate parenting httpstcotjdzomuua,0.0,Neutral,0,non-negative affect
children inherit anxiety httpstcottwbgrbqs,-0.178,Negative,1,high negative affect
children selfesteem httpstcosdzuqyji,0.0,Neutral,0,non-negative affect
happens try prevent every suicide httpstcoyajcyihij,-0.66,Negative,1,high negative affect
deal mental health issues work mental health httpstcoyzwzwpxxiy,0.0,Neutral,0,non-negative affect
peer support breaking stigma httpstcoavmvqvezgx,0.402,Positve,0,non-negative affect
teens selfharm bullying sex ting httpstconcekzwta,-0.599,Negative,1,high negative affect
limit video game time help manage adhd httpstcowiveb,0.402,Positve,0,non-negative affect
stop child abuse httpstcolftwlpgs,-0.751,Negative,1,high negative affect
need weekend counseling appointment ct httpstcodrwhnlrky,0.0,Neutral,0,non-negative affect
know signs child neglect httpstcopalxpytc,-0.459,Negative,1,high negative affect
love person mental illness mental illness httpstcoyntxxmcrz,-0.052,Negative,1,high negative affect
messages mental illness worldwide mental illness httpstcozjcyonwow,-0.66,Negative,1,high negative affect
accept emotions acceptance httpstcoenrbfzqfs,0.681,Positve,0,non-negative affect
need therapist accepts husky insurance ct httpstcoqaoxxuqah,0.318,Positve,0,non-negative affect
side effects antidepressants httpstcowpkchmost,0.0,Neutral,0,non-negative affect
think sadness may depression httpstconbopqloz,-0.765,Negative,1,high negative affect
mental health academic life mental health httpstcohgtenmfty,0.0,Neutral,0,non-negative affect
comes stress women worse httpstcofjccsmzn,-0.71,Negative,1,high negative affect
poor parenting children behavior problems httpstcoebdgrwjurk,-0.7,Negative,1,high negative affect
dating sites connected std increase httpstcotfgvlq,0.318,Positve,0,non-negative affect
searching counselor meets weekends httpstcoorulllzod,0.0,Neutral,0,non-negative affect
subtle signs depression httpstcozzwjuoou,-0.572,Negative,1,high negative affect
men account suicides httpstcokaadakndh,0.0,Neutral,0,non-negative affect
accountants mental health stress httpstcopklhawu,-0.421,Negative,1,high negative affect
another way counter anxiety httpstcorxifodlu,-0.178,Negative,1,high negative affect
legalizing prostitution lead trafficking httpstcoyxtmjhkv,0.0,Neutral,0,non-negative affect
things shouldnt affair httpstcowvyfihhs,0.0,Neutral,0,non-negative affect
early life stress lead depression later httpstcouqlowlvph,-0.758,Negative,1,high negative affect
marriage good health httpstcobaiginnbl,0.44,Positve,0,non-negative affect
struggle need perfection httpstcocyutjshmi,0.34,Positve,0,non-negative affect
birth control impacted marriage httpstcotdqfzlfur,0.0,Neutral,0,non-negative affect
seniors cope depression httpstcotwyblqaxv,-0.572,Negative,1,high negative affect
make sense depression httpstcoedrgrclmn,-0.572,Negative,1,high negative affect
stress effect health httpstcogxxcfmgpf,-0.421,Negative,1,high negative affect
black men mental illness mental illness httpstcocwsfhgj,-0.66,Negative,1,high negative affect
understanding anxiety men httpstcoywqpeulztw,-0.178,Negative,1,high negative affect
mentally ill left behind mental ill nes httpstcovbplsdhx,-0.681,Negative,1,high negative affect
tackling feelings resentment httpstcojvkadu,-0.44,Negative,1,high negative affect
myths undermine addiction recovery httpstcoesworkj,-0.296,Negative,1,high negative affect
many people know cocaine problem addiction httpstcomwkatyok,-0.402,Negative,1,high negative affect
children pot addiction httpstcoiopcnqdx,0.0,Neutral,0,non-negative affect
ptsd flood httpstcobwjukxaief,0.0,Neutral,0,non-negative affect
volunteering improves mental health httpstcobqaavycoy,0.421,Positve,0,non-negative affect
taking care work httpstcowfnjtcay,0.494,Positve,0,non-negative affect
reversing childhood obesity httpstcovzzscjqe,0.0,Neutral,0,non-negative affect
dont take children httpstcoldjtkbass,0.0,Neutral,0,non-negative affect
refusing treatment bipolar disorder httpstcodcklqcxi,-0.66,Negative,1,high negative affect
doctors vaccines httpstcolfqqm,0.0,Neutral,0,non-negative affect
spotlight prescription drug abuse httpstcoyukitpdmzh,-0.637,Negative,1,high negative affect
adhd aint daddy home disorder httpstcojjxppxwit,0.309,Positve,0,non-negative affect
next time notice feeling someone smiles mindfulness httpstcoftwrfz,0.557,Positve,0,non-negative affect
screening children depression physical exams httpstcorfzoysmuf,-0.572,Negative,1,high negative affect
genetic mutations cause half autism httpstcocnuiikrtr,0.0,Neutral,0,non-negative affect
job impact mental health httpstcozumjxloi,0.0,Neutral,0,non-negative affect
australian mental health system broken httpstcolryhgfzwl,-0.477,Negative,1,high negative affect
scholars question adhd even exists httpstcoqiibmew,0.0,Neutral,0,non-negative affect
children going chiropractor httpstcovgjkgevfkc,0.0,Neutral,0,non-negative affect
know bipolar disorder httpstcoxznpppkq,-0.402,Negative,1,high negative affect
kids screen electronics addiction httpstcorwcxnsut,0.0,Neutral,0,non-negative affect
increase adhd medication use httpstcowhwddqwpu,0.318,Positve,0,non-negative affect
older women still enjoy sex httpstcowydfjnlfq,0.494,Positve,0,non-negative affect
anyone expressed concern much worry anxiety httpstcordbvldhs,-0.557,Negative,1,high negative affect
love addicted mean httpstcowngebpf,0.637,Positve,0,non-negative affect
talking best therapy httpstcoxvhkeytg,0.637,Positve,0,non-negative affect
college kids alcohol httpstcocsorpufzk,0.0,Neutral,0,non-negative affect
getting teachers mental health training httpstcomnjgssjdi,0.0,Neutral,0,non-negative affect
people recovery need support httpstconikuzdhvbe,0.402,Positve,0,non-negative affect
tell dated men past relationships dating httpstcogwpgmsed,0.0,Neutral,0,non-negative affect
real men dont get depression stereotype httpstcogtspmrcgq,0.607,Positve,0,non-negative affect
worsts habits mental health httpstcoutoiyz,0.0,Neutral,0,non-negative affect
tips overcome depression httpstcolcbwzvgz,-0.572,Negative,1,high negative affect
different parenting styles httpstcochosyqqt,0.0,Neutral,0,non-negative affect
link maternity leave mental health httpstcozehloucqk,-0.052,Negative,1,high negative affect
savoring positive emotions httpstcopbrburybae,0.557,Positve,0,non-negative affect
suicide survivors point view httpstcohxliplyty,-0.67,Negative,1,high negative affect
increased funding youth mental health substance abuse prevention httpstcoeruxhbejz,-0.477,Negative,1,high negative affect
daily admissions selfharm httpstcoeakfenpevi,0.0,Neutral,0,non-negative affect
signs mental strength resilience httpstcoqaeginvg,0.494,Positve,0,non-negative affect
questions sex addiction httpstcouqkoral,0.0,Neutral,0,non-negative affect
women greater risk ptsd men httpstcodjsi,0.103,Positve,0,non-negative affect
